show_id,type,title,director,cast,country,date_added,release_year,age_rating,movie_runtime,genre,IMDB Rating,description
s3496,Movie,Jeff Dunham: Beside Himself,Troy Miller,Jeff Dunham,United States,24-Sep-19,2019,TV-MA,58 min,Stand-Up Comedy,,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture."
tm832843,Movie,Jeff Dunham: Beside Himself,,,['US'],,2019,,58 min,['comedy'],7.5,"The ventriloquist, Jeff Dunham, taped his second Netflix special in his hometown of Dallas, TX in the American Airlines Center. He returns with his normal cast of characters including Walter, Bubba J, Peanut, José Jalapeño on a Stick, Achmed the Dead Terrorist, and one of his newest additions Larry, a high strung, chain-smoking, on-again, off-again personal adviser to the President."
s4009,Movie,Jeff Dunham: Controlled Chaos,"Michael Simon, Matthew McNeil",Jeff Dunham,United States,15-Mar-19,2011,TV-MA,97 min,Stand-Up Comedy,,"Politically incorrect and often raunchy humor pepper ventriloquist Dunham's live concert performance featuring characters Walter, Achmed and Peanut."
tm181856,Movie,Jeff Dunham: Controlled Chaos,,,['US'],,2011,,90 min,"['comedy', 'documentation']",6.3,"Jeff Dunham is back in his fourth concert event, with all-new material. All the favorites are here: Walter, the grumpy retiree; furry and manic Peanut; Jose Jalapeño, the spicy pepper from south of the border; plus bumbling skeletal Achmed the Dead Terrorist. Dunham is also joined by two never-before-seen characters certain to unleash their own unique havoc on stage."
s4010,Movie,Jeff Dunham: Minding the Monsters,Manny Rodriguez,Jeff Dunham,United States,15-Mar-19,2012,TV-MA,80 min,Stand-Up Comedy,,"Jeff Dunham returns with a haunted house full of his hysterical entourage, and each character stars in its own horror movie trailer."
tm37175,Movie,Jeff Dunham: Minding the Monsters,,,['US'],,2012,PG-13,80 min,['comedy'],6.2,"Stand-up comedian and ventriloquist Jeff Dunham. Enter the ultimate hunted house where Walter transforms into something grumpier than he already is! Watch Bubba J. rise from the dead! Meet Peanut's alter ego, The Purple Venger of the Night, and his spicy sidekick! and witness Achmed litterally dressed to kill in an outfit terrify the most terrifying terrorist!"
s5277,Movie,Jeff Dunham: Relative Disaster,Michael Simon,Jeff Dunham,United States,12-Sep-17,2017,TV-MA,71 min,Stand-Up Comedy,,Ventriloquist Jeff Dunham brings his rude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics.
tm348175,Movie,Jeff Dunham: Relative Disaster,,,['IE'],,2017,,70 min,['comedy'],6.8,"Ventriloquist Jeff Dunham brings his rude, crude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics."
s3062,Movie,Jeff Dunham: Unhinged in Hollywood,Michael Simon,Jeff Dunham,United States,1-Jan-20,2015,TV-MA,71 min,Stand-Up Comedy,,Unfiltered ventriloquist Jeff Dunham brings his ragtag crew of puppet pals to Hollywood for big laughs about celebrity culture and California living.
tm225675,Movie,Jeff Dunham: Unhinged in Hollywood,,,['US'],,2015,PG,60 min,['comedy'],6.2,Previously unseen stand-up comedy by Jeff Dunham. Sketches include popular characters. Brad Paisley performs too! Special appearances by comic Chris Parnell and former UFC champion Chuck Liddell.
s4011,Movie,Jeff Dunham's Very Special Christmas Special,Michael Simon,"Jeff Dunham, Brian Haner",United States,15-Mar-19,2008,TV-MA,85 min,Stand-Up Comedy,,"Politically incorrect, sometimes raunchy ventriloquist Jeff Dunham is joined by his irreverent cast of characters in this hilarious Christmas special."
tm38454,Movie,Jeff Dunham's Very Special Christmas Special,,,['US'],,2008,PG-13,85 min,"['comedy', 'documentation']",7,The multi-platinum selling comedian performs his first holiday-themed stand-up special with his friends.
tm242002,Movie,Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,,,['US'],,2016,,74 min,['comedy'],5.8,Comedians Jeff Foxworthy and Larry the Cable Guy bring their distinctive brand of humor to a packed crowd in Minneapolis.
s5809,Movie,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...,Jay Karas,"Jeff Foxworthy, Larry the Cable Guy",United States,26-Aug-16,2016,TV-14,75 min,Stand-Up Comedy,,Grammy-nominated comedians Jeff Foxworthy and Larry the Cable Guy bring their distinctive brand of humor to a packed crowd in Minneapolis.
tm1174920,Movie,Jeff Foxworthy: The Good Old Days,,,[],,2022,,60 min,"['comedy', 'documentation']",6.1,"Jeff looks back on simpler times as he talks aging, texting and ""sex education,"" then shares one wild story from the Blue Collar Comedy Tour."
s3290,Movie,Jeff Garlin: Our Man In Chicago,Christopher Storer,Jeff Garlin,United States,12-Nov-19,2019,TV-MA,59 min,Stand-Up Comedy,,"Comedian Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love, loss, success and food addiction."
